         6313134 function calls (6265562 primitive calls) in 8.094 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 generic.py:39(create_pandas_abc_type)
      264    0.000    0.000    0.011    0.000 formats.py:222(module)
     2397    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      203    0.000    0.000    0.000    0.000 copy.py:242(_keep_alive)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       66    0.000    0.000    0.119    0.002 parallel.py:238(new_func)
      445    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      294    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
     3269    0.000    0.000    0.007    0.000 dag.py:182(topological_sort)
      738    0.000    0.000    0.001    0.000 arraysetops.py:125(_unpack_tuple)
       67    0.000    0.000    0.000    0.000 twodim_base.py:161(eye)
      205    0.000    0.000    0.001    0.000 genericpath.py:121(_splitext)
       65    0.000    0.000    0.011    0.000 minkowski_reduction.py:198(minkowski_reduce)
